Timestamp,Agent,Department,Call Duration (mins),Resolved,CSAT Score,Sentiment,Escalated
2025-07-18 11:11:28,John,Shipping,13.2,No,1,Negative,Yes
2025-07-13 15:31:28,Charlie,Technical Support,9.0,Yes,1,Very Negative,Yes
2025-07-20 16:24:28,Diana,Sales,11.3,Yes,2,Positive,No
2025-07-15 23:06:28,Eli,Technical Support,7.9,Yes,3,Negative,Yes
2025-07-18 01:27:28,Anna,Shipping,7.8,Yes,4,Positive,Yes
2025-07-17 22:48:28,Alice,Sales,10.6,No,4,Very Positive,Yes
2025-07-20 12:07:28,Bob,Shipping,9.3,Yes,5,Neutral,No
2025-07-13 22:25:28,Diana,Billing,2.7,No,2,Negative,Yes
2025-07-14 05:37:28,Alice,Technical Support,14.4,No,1,Neutral,No
2025-07-15 01:15:28,Alice,Shipping,8.9,Yes,1,Neutral,No
2025-07-16 06:50:28,James,Shipping,10.0,Yes,3,Very Positive,Yes
2025-07-22 21:47:28,Diana,Billing,12.8,No,3,Positive,No
2025-07-19 08:04:28,Michael,Billing,9.2,Yes,4,Very Positive,Yes
2025-07-15 01:53:28,John,Sales,14.2,Yes,3,Very Positive,No
2025-07-23 10:45:28,Michael,Billing,2.3,No,5,Negative,No
2025-07-11 17:39:28,Anna,Billing,12.0,Yes,5,Negative,Yes
2025-07-20 16:12:28,Diana,Shipping,10.3,Yes,5,Negative,No
2025-07-22 13:43:28,Diana,Shipping,3.9,No,3,Positive,No
2025-07-19 18:16:28,Anna,Sales,11.0,No,1,Neutral,No
2025-07-18 02:35:28,Eli,Sales,10.9,Yes,1,Very Positive,Yes
2025-07-21 05:04:28,Charlie,Billing,13.1,No,1,Very Negative,Yes
2025-07-12 00:15:28,Alice,Shipping,9.6,Yes,2,Very Positive,No
2025-07-19 08:18:28,John,Billing,8.4,Yes,4,Very Negative,No
2025-07-12 13:11:28,Michael,Billing,7.7,No,5,Neutral,Yes
2025-07-13 07:39:28,James,Sales,7.5,No,4,Positive,Yes
2025-07-19 03:26:28,John,Technical Support,3.7,Yes,5,Very Negative,Yes
2025-07-17 12:48:28,Michael,Technical Support,8.9,Yes,2,Neutral,No
2025-07-15 19:51:28,Charlie,Sales,2.6,Yes,4,Very Positive,Yes
2025-07-17 05:03:28,John,Shipping,12.1,Yes,5,Negative,Yes
2025-07-20 20:27:28,Bob,Sales,11.9,No,3,Very Negative,Yes
2025-07-13 03:31:28,James,Billing,3.9,Yes,1,Negative,No
2025-07-18 14:28:28,Alice,Sales,5.9,No,2,Negative,No
2025-07-24 20:38:28,Bob,Sales,5.1,No,1,Neutral,No
2025-07-21 15:46:28,Diana,Sales,12.9,No,1,Very Negative,Yes
2025-07-24 04:32:28,Michael,Billing,3.3,No,1,Negative,Yes
2025-07-24 19:58:28,Anna,Technical Support,11.5,No,2,Negative,No
2025-07-15 22:57:28,Michael,Technical Support,3.7,Yes,2,Very Positive,No
2025-07-19 09:48:28,Charlie,Shipping,6.2,No,3,Very Positive,No
2025-07-17 16:40:28,John,Sales,8.8,No,2,Neutral,Yes
2025-07-23 10:20:28,Alice,Billing,6.7,No,5,Very Positive,No
2025-07-11 19:30:28,Anna,Sales,13.2,Yes,2,Positive,Yes
2025-07-12 16:50:28,Anna,Sales,13.7,No,3,Very Positive,No
2025-07-13 05:59:28,Michael,Technical Support,12.1,Yes,5,Very Positive,Yes
2025-07-16 23:38:28,Diana,Shipping,11.7,No,4,Neutral,Yes
2025-07-19 00:48:28,Michael,Shipping,10.1,No,1,Very Positive,No
2025-07-21 01:12:28,Bob,Billing,11.8,Yes,1,Very Positive,No
2025-07-19 05:31:28,Diana,Shipping,6.5,Yes,4,Very Negative,No
2025-07-21 19:13:28,James,Sales,10.4,Yes,3,Negative,Yes
2025-07-22 00:06:28,Michael,Sales,2.8,Yes,4,Neutral,Yes
2025-07-23 23:42:28,Diana,Sales,10.0,No,4,Neutral,Yes
2025-07-13 06:05:28,Michael,Shipping,8.7,No,4,Very Negative,No
2025-07-18 10:14:28,Eli,Billing,2.6,Yes,5,Very Negative,Yes
2025-07-22 20:49:28,Charlie,Billing,7.9,No,1,Neutral,No
2025-07-24 13:18:28,Diana,Sales,8.9,No,4,Positive,Yes
2025-07-22 04:39:28,Anna,Sales,3.1,No,1,Positive,Yes
2025-07-24 17:37:28,Alice,Technical Support,3.7,No,3,Very Positive,Yes
2025-07-17 19:53:28,Alice,Shipping,2.4,No,1,Positive,Yes
2025-07-16 18:50:28,Alice,Shipping,10.7,No,1,Negative,Yes
2025-07-14 12:26:28,Eli,Billing,13.6,Yes,2,Positive,Yes
2025-07-21 18:04:28,Anna,Sales,3.3,No,3,Positive,Yes
2025-07-12 20:45:28,Bob,Sales,7.6,Yes,4,Very Negative,Yes
2025-07-12 11:45:28,Anna,Technical Support,8.2,No,2,Positive,Yes
2025-07-21 05:59:28,Anna,Technical Support,3.8,Yes,3,Positive,Yes
2025-07-11 23:53:28,Charlie,Billing,10.6,No,3,Neutral,Yes
2025-07-12 08:42:28,Bob,Shipping,4.6,No,2,Very Positive,Yes
2025-07-20 04:32:28,Eli,Sales,2.3,No,4,Positive,Yes
2025-07-24 02:26:28,Eli,Billing,8.8,No,4,Very Positive,Yes
2025-07-23 12:26:28,James,Billing,10.4,No,2,Very Negative,No
2025-07-21 13:01:28,John,Technical Support,13.1,Yes,3,Neutral,Yes
2025-07-21 16:13:28,Michael,Shipping,10.5,No,2,Positive,Yes
2025-07-14 18:42:28,Eli,Sales,4.3,Yes,3,Negative,No
2025-07-11 04:57:28,John,Shipping,14.9,Yes,2,Negative,No
2025-07-16 00:33:28,James,Sales,10.1,No,4,Positive,No
2025-07-17 13:49:28,Eli,Billing,11.1,Yes,1,Neutral,Yes
2025-07-13 21:57:28,Anna,Shipping,2.8,Yes,3,Very Negative,Yes
2025-07-17 19:37:28,Diana,Sales,9.4,No,5,Negative,Yes
2025-07-20 13:28:28,Bob,Technical Support,6.5,Yes,2,Very Positive,Yes
2025-07-11 15:48:28,Anna,Technical Support,7.4,No,2,Positive,No
2025-07-24 20:47:28,John,Sales,10.2,No,5,Negative,Yes
2025-07-12 00:45:28,Bob,Technical Support,8.2,No,4,Negative,Yes
2025-07-12 21:52:28,James,Technical Support,8.1,No,3,Negative,No
2025-07-14 18:46:28,John,Technical Support,5.6,No,3,Very Negative,Yes
2025-07-14 11:27:28,Diana,Technical Support,3.0,No,4,Positive,No
2025-07-14 22:49:28,Eli,Sales,5.5,Yes,5,Neutral,No
2025-07-20 13:04:28,James,Sales,12.0,No,5,Positive,No
2025-07-24 07:08:28,James,Billing,6.0,Yes,1,Very Negative,Yes
2025-07-22 08:07:28,Anna,Shipping,14.7,No,3,Positive,No
2025-07-15 01:08:28,Michael,Sales,11.6,No,4,Very Negative,No
2025-07-24 06:09:28,Michael,Sales,5.6,No,5,Neutral,No
2025-07-23 11:35:28,John,Shipping,12.5,Yes,2,Very Positive,No
2025-07-11 18:18:28,James,Shipping,3.8,Yes,4,Negative,Yes
2025-07-23 11:22:28,Eli,Shipping,3.6,No,5,Positive,No
2025-07-15 12:55:28,Michael,Technical Support,15.0,No,5,Very Negative,Yes
2025-07-14 10:49:28,Anna,Shipping,13.9,No,4,Very Negative,Yes
2025-07-22 18:20:28,Bob,Shipping,3.6,No,2,Very Negative,No
2025-07-21 22:42:28,Alice,Technical Support,14.3,No,1,Neutral,No
2025-07-11 10:42:28,Eli,Billing,11.1,No,2,Positive,Yes
2025-07-20 09:40:28,Michael,Shipping,11.7,No,4,Neutral,No
2025-07-14 17:27:28,John,Technical Support,8.2,Yes,4,Neutral,No
2025-07-12 18:38:28,Anna,Technical Support,8.9,No,3,Negative,No
2025-07-24 23:30:28,Alice,Shipping,11.7,No,5,Very Positive,No
2025-07-15 07:53:28,Michael,Billing,6.7,No,4,Neutral,No
2025-07-15 23:11:28,Bob,Shipping,4.0,No,3,Very Negative,Yes
2025-07-11 10:35:28,James,Technical Support,13.8,No,5,Very Negative,Yes
2025-07-20 10:15:28,Charlie,Sales,12.2,No,3,Neutral,No
2025-07-13 00:27:28,Charlie,Sales,4.4,Yes,1,Very Positive,Yes
2025-07-17 15:07:28,Alice,Technical Support,11.5,No,5,Very Positive,No
2025-07-17 17:56:28,Bob,Billing,5.0,Yes,4,Very Positive,Yes
2025-07-11 22:18:28,John,Shipping,8.9,No,4,Neutral,No
2025-07-22 20:10:28,Charlie,Billing,10.2,Yes,2,Very Negative,No
2025-07-18 12:05:28,Bob,Sales,12.6,No,4,Very Positive,No
2025-07-22 18:18:28,Eli,Shipping,5.8,No,3,Positive,No
2025-07-24 00:48:28,Michael,Sales,9.9,No,3,Negative,No
2025-07-12 08:53:28,Diana,Shipping,13.4,Yes,1,Positive,Yes
2025-07-23 23:00:28,Charlie,Shipping,12.3,No,2,Neutral,Yes
2025-07-13 07:04:28,Diana,Technical Support,5.1,No,4,Very Positive,No
2025-07-24 20:58:28,Bob,Sales,8.4,No,4,Very Positive,Yes
2025-07-11 04:53:28,Charlie,Technical Support,5.2,Yes,5,Neutral,Yes
2025-07-14 05:41:28,Anna,Billing,9.5,No,4,Neutral,Yes
2025-07-14 10:50:28,Charlie,Technical Support,3.0,Yes,4,Very Positive,No
2025-07-18 20:38:28,Bob,Technical Support,2.3,Yes,2,Very Negative,No
2025-07-17 16:28:28,Bob,Shipping,12.1,No,5,Very Positive,Yes
2025-07-24 05:40:28,Anna,Sales,10.3,No,3,Very Positive,Yes
2025-07-18 03:26:28,Eli,Technical Support,14.4,No,3,Neutral,No
2025-07-14 07:07:28,Charlie,Technical Support,14.1,No,3,Negative,Yes
2025-07-20 22:52:28,Alice,Sales,13.6,Yes,2,Positive,No
2025-07-15 22:10:28,Eli,Billing,10.0,No,3,Very Negative,Yes
2025-07-15 23:36:28,Bob,Technical Support,5.4,Yes,4,Very Positive,No
2025-07-21 19:59:28,James,Technical Support,2.3,No,3,Positive,No
2025-07-24 12:06:28,Eli,Billing,8.6,Yes,2,Positive,No
2025-07-17 05:58:28,Michael,Billing,13.8,Yes,2,Positive,Yes
2025-07-22 18:53:28,Charlie,Sales,14.1,Yes,3,Negative,No
2025-07-23 12:44:28,Anna,Sales,10.4,No,5,Very Negative,Yes
2025-07-15 20:53:28,Anna,Billing,4.5,No,5,Very Positive,No
2025-07-22 01:06:28,Eli,Sales,12.7,No,1,Neutral,No
2025-07-17 00:50:28,James,Sales,13.1,Yes,2,Very Positive,No
2025-07-23 01:37:28,Diana,Sales,11.0,Yes,3,Positive,Yes
2025-07-14 06:09:28,Diana,Shipping,14.3,Yes,4,Negative,Yes
2025-07-20 09:40:28,Michael,Sales,2.7,No,1,Negative,No
2025-07-12 23:57:28,Anna,Billing,13.3,Yes,2,Positive,No
2025-07-13 14:58:28,Bob,Shipping,9.0,Yes,2,Very Positive,Yes
2025-07-16 08:04:28,Eli,Technical Support,11.4,No,3,Negative,Yes
2025-07-15 06:33:28,James,Sales,4.9,No,1,Very Negative,Yes
2025-07-15 22:44:28,Michael,Billing,13.5,No,4,Very Negative,No
2025-07-19 06:23:28,Alice,Sales,11.9,No,1,Positive,Yes
2025-07-23 10:08:28,Anna,Billing,11.6,Yes,1,Very Positive,Yes
2025-07-20 11:45:28,James,Technical Support,11.4,Yes,3,Neutral,No
2025-07-16 03:09:28,Eli,Shipping,3.1,No,3,Positive,No
2025-07-22 18:06:28,James,Shipping,3.4,Yes,1,Positive,Yes
2025-07-23 16:47:28,Eli,Shipping,3.5,No,2,Neutral,No
2025-07-15 00:01:28,James,Technical Support,6.1,Yes,1,Very Negative,Yes
2025-07-19 07:19:28,Bob,Technical Support,14.0,Yes,5,Very Positive,No
2025-07-13 14:40:28,Michael,Technical Support,10.1,Yes,2,Positive,Yes
2025-07-18 22:26:28,Charlie,Shipping,12.6,No,1,Very Negative,Yes
2025-07-14 03:02:28,Alice,Shipping,10.1,Yes,5,Negative,Yes
2025-07-15 15:58:28,James,Billing,7.9,Yes,2,Neutral,No
2025-07-21 08:42:28,Eli,Shipping,3.0,No,3,Positive,No
2025-07-13 22:12:28,James,Shipping,11.8,Yes,3,Neutral,Yes
2025-07-12 17:27:28,Alice,Shipping,5.1,No,3,Positive,No
2025-07-22 05:06:28,Michael,Technical Support,13.2,No,3,Negative,Yes
2025-07-21 00:34:28,Charlie,Shipping,12.3,No,4,Positive,No
2025-07-21 18:07:28,James,Technical Support,9.6,No,4,Very Positive,No
2025-07-20 13:05:28,James,Billing,9.1,No,3,Neutral,No
2025-07-14 16:40:28,Alice,Technical Support,10.0,No,4,Neutral,Yes
2025-07-23 23:00:28,Bob,Technical Support,7.5,No,5,Neutral,Yes
2025-07-12 21:43:28,Bob,Technical Support,5.1,Yes,2,Neutral,Yes
2025-07-16 19:26:28,Alice,Technical Support,14.4,Yes,5,Very Positive,No
2025-07-13 15:31:28,Eli,Technical Support,3.0,No,2,Neutral,Yes
2025-07-20 00:04:28,John,Shipping,4.9,No,1,Neutral,Yes
2025-07-15 23:09:28,Michael,Shipping,8.3,Yes,2,Positive,No
2025-07-16 04:58:28,Diana,Shipping,12.5,No,5,Positive,Yes
2025-07-19 23:32:28,Charlie,Technical Support,11.4,Yes,5,Positive,Yes
2025-07-12 19:49:28,Anna,Technical Support,14.4,Yes,4,Negative,No
2025-07-11 15:54:28,Charlie,Technical Support,9.7,Yes,4,Negative,No
2025-07-24 11:00:28,James,Billing,13.1,No,2,Neutral,Yes
2025-07-11 21:29:28,John,Technical Support,10.6,Yes,3,Very Negative,No
2025-07-16 10:33:28,Alice,Technical Support,14.0,Yes,1,Very Negative,No
